gsis_id,role
00-0034854,UNKNOWN
00-0034856,CB
00-0034858,S
00-0034860,UNKNOWN
00-0034867,UNKNOWN
00-0034874,LB
00-0034887,LB
00-0034902,LB
00-0034903,CB
00-0034944,LB
00-0034954,EDGE
00-0034959,UNKNOWN
00-0034966,CB
00-0034967,EDGE
00-0034968,S
00-0034969,EDGE
00-0034973,EDGE
00-0034974,S
00-0034977,S
00-0034981,UNKNOWN
00-0034982,LB
00-0034983,UNKNOWN
00-0034984,IDL
00-0034987,LB
00-0034990,CB
00-0034992,IDL
00-0034993,S
00-0034996,UNKNOWN
00-0034997,EDGE
00-0034999,LB
00-0035000,EDGE
00-0035020,LB
00-0035021,UNKNOWN
00-0035022,UNKNOWN
00-0035026,IDL
00-0035045,UNKNOWN
00-0035048,EDGE
00-0035073,IDL
00-0035076,LB
00-0035094,IDL
00-0035099,UNKNOWN
00-0035133,CB
00-0035135,EDGE
00-0035139,CB
00-0035142,CB
00-0035147,CB
00-0035150,CB
00-0035157,LB
00-0035164,UNKNOWN
00-0035166,LB
00-0035179,IDL
00-0035184,UNKNOWN
00-0035202,LB
00-0035208,UNKNOWN
00-0035210,UNKNOWN
00-0035215,UNKNOWN
00-0035219,IDL
00-0035223,LB
00-0035227,S
00-0035230,IDL
00-0035231,IDL
00-0035239,CB
00-0035240,LB
00-0035241,CB
00-0035247,IDL
00-0035248,IDL
00-0035253,S
00-0035254,EDGE
00-0035255,CB
00-0035260,IDL
00-0035262,LB
00-0035265,EDGE
00-0035270,CB
00-0035272,EDGE
00-0035273,UNKNOWN
00-0035276,LB
00-0035277,CB
00-0035278,IDL
00-0035279,EDGE
00-0035281,EDGE
00-0035286,LB
00-0035290,S
00-0035291,UNKNOWN
00-0035292,CB
00-0035293,CB
00-0035294,CB
00-0035298,UNKNOWN
00-0035301,S
00-0035304,UNKNOWN
00-0035306,EDGE
00-0035307,UNKNOWN
00-0035315,IDL
00-0035316,LB
00-0035327,S
00-0035330,EDGE
00-0035334,IDL
00-0035343,IDL
00-0035346,CB
00-0035352,LB
00-0035356,UNKNOWN
00-0035357,S
00-0035363,LB
00-0035365,CB
00-0035370,CB
00-0035373,LB
00-0035375,S
00-0035378,S
00-0035386,LB
00-0035390,IDL
00-0035393,CB
00-0035399,UNKNOWN
00-0035402,EDGE
00-0035404,EDGE
00-0035409,IDL
00-0035412,LB
00-0035413,LB
00-0035422,CB
00-0035423,EDGE
00-0035437,S
00-0035444,LB
00-0035455,IDL
00-0035500,UNKNOWN
00-0035507,EDGE
00-0035513,EDGE
00-0035518,IDL
00-0035519,IDL
00-0035521,EDGE
00-0035525,LB
00-0035530,S
00-0035531,EDGE
00-0035532,S
00-0035533,IDL
00-0035538,EDGE
00-0035541,IDL
00-0035542,CB
00-0035549,LB
00-0035573,CB
00-0035591,EDGE
00-0035593,UNKNOWN
00-0035594,UNKNOWN
00-0035600,IDL
00-0035607,IDL
00-0035609,LB
00-0035617,LB
00-0035625,S
00-0035629,IDL
00-0035632,S
00-0035633,CB
00-0035636,IDL
00-0035637,CB
00-0035638,CB
00-0035642,EDGE
00-0035643,IDL
00-0035645,UNKNOWN
00-0035646,LB
00-0035647,EDGE
00-0035650,CB
00-0035651,EDGE
00-0035654,EDGE
00-0035655,CB
00-0035656,IDL
00-0035663,S
00-0035667,IDL
00-0035669,S
00-0035670,LB
00-0035672,LB
00-0035674,IDL
00-0035676,UNKNOWN
00-0035677,S
00-0035678,IDL
00-0035680,LB
00-0035681,S
00-0035683,IDL
00-0035687,LB
00-0035692,EDGE
00-0035693,S
00-0035695,CB
00-0035696,CB
00-0035697,LB
00-0035699,CB
00-0035703,UNKNOWN
00-0035705,S
00-0035707,LB
00-0035708,EDGE
00-0035713,EDGE
00-0035717,EDGE
00-0035718,IDL
00-0035763,IDL
00-0035783,CB
00-0035795,CB
00-0035804,LB
00-0035806,UNKNOWN
00-0035808,S
00-0035822,IDL
00-0035830,S
00-0035841,IDL
00-0035850,EDGE
00-0035857,IDL
00-0035862,CB
00-0035880,CB
00-0035890,IDL
00-0035895,LB
00-0035900,LB
00-0035903,EDGE
00-0035906,EDGE
00-0035908,UNKNOWN
00-0035910,IDL
00-0035916,IDL
00-0035924,UNKNOWN
00-0035925,CB
00-0035927,IDL
00-0035928,IDL
00-0035933,EDGE
00-0035942,LB
00-0035944,IDL
00-0035946,IDL
00-0035950,S
00-0035961,LB
00-0035962,S
00-0035965,EDGE
00-0035971,EDGE
00-0035979,UNKNOWN
00-0035984,LB
00-0035985,IDL
00-0035987,UNKNOWN
00-0035995,CB
00-0035998,UNKNOWN
00-0036002,S
00-0036007,IDL
00-0036010,S
00-0036011,CB
00-0036028,LB
00-0036029,EDGE
00-0036037,S
00-0036043,CB
00-0036045,EDGE
00-0036050,IDL
00-0036056,S
00-0036059,UNKNOWN
00-0036068,EDGE
00-0036076,EDGE
00-0036081,IDL
00-0036086,EDGE
00-0036087,CB
00-0036090,LB
00-0036111,CB
00-0036118,S
00-0036124,CB
00-0036127,S
00-0036130,IDL
00-0036137,EDGE
00-0036139,UNKNOWN
00-0036147,S
00-0036149,CB
00-0036151,EDGE
00-0036152,CB
00-0036157,LB
00-0036159,EDGE
00-0036166,CB
00-0036167,LB
00-0036181,IDL
00-0036182,UNKNOWN
00-0036187,UNKNOWN
00-0036189,S
00-0036192,EDGE
00-0036193,EDGE
00-0036196,UNKNOWN
00-0036199,S
00-0036203,LB
00-0036204,IDL
00-0036205,EDGE
00-0036213,IDL
00-0036216,EDGE
00-0036219,UNKNOWN
00-0036220,IDL
00-0036221,S
00-0036222,CB
00-0036224,EDGE
00-0036229,LB
00-0036231,S
00-0036233,UNKNOWN
00-0036235,LB
00-0036237,IDL
00-0036238,IDL
00-0036239,EDGE
00-0036240,CB
00-0036241,CB
00-0036247,UNKNOWN
00-0036249,EDGE
00-0036250,UNKNOWN
00-0036253,S
00-0036260,IDL
00-0036261,UNKNOWN
00-0036262,IDL
00-0036266,IDL
00-0036270,LB
00-0036274,CB
00-0036276,LB
00-0036280,LB
00-0036282,S
00-0036283,S
00-0036285,CB
00-0036286,EDGE
00-0036287,CB
00-0036288,EDGE
00-0036289,IDL
00-0036291,IDL
00-0036292,CB
00-0036293,S
00-0036294,LB
00-0036296,EDGE
00-0036298,LB
00-0036300,LB
00-0036302,S
00-0036303,CB
00-0036304,CB
00-0036305,EDGE
00-0036306,S
00-0036307,CB
00-0036311,IDL
00-0036314,LB
00-0036316,CB
00-0036321,EDGE
00-0036323,LB
00-0036329,S
00-0036330,CB
00-0036331,UNKNOWN
00-0036332,UNKNOWN
00-0036333,EDGE
00-0036335,EDGE
00-0036337,IDL
00-0036338,LB
00-0036341,EDGE
00-0036343,LB
00-0036344,CB
00-0036348,S
00-0036350,EDGE
00-0036351,EDGE
00-0036352,IDL
00-0036356,LB
00-0036358,UNKNOWN
00-0036359,CB
00-0036361,CB
00-0036363,S
00-0036366,IDL
00-0036368,LB
00-0036371,IDL
00-0036373,IDL
00-0036374,CB
00-0036375,CB
00-0036379,EDGE
00-0036380,S
00-0036387,UNKNOWN
00-0036388,S
00-0036390,CB
00-0036393,LB
00-0036394,CB
00-0036395,S
00-0036401,LB
00-0036402,EDGE
00-0036403,EDGE
00-0036405,CB
00-0036409,LB
00-0036411,S
00-0036413,EDGE
00-0036416,CB
00-0036418,LB
00-0036419,EDGE
00-0036420,IDL
00-0036421,S
00-0036424,UNKNOWN
00-0036425,UNKNOWN
00-0036426,EDGE
00-0036428,LB
00-0036429,UNKNOWN
00-0036430,IDL
00-0036431,S
00-0036432,LB
00-0036434,LB
00-0036440,EDGE
00-0036444,IDL
00-0036447,IDL
00-0036450,UNKNOWN
00-0036462,CB
