season,player_id,player_name,plays_rush,rush_epa,rush_epa_per_play,plays_rec,rec_epa,rec_epa_per_play,plays_total,rush_WAR,rec_WAR,total_WAR,total_WAR_per_300
2021,00-0030431,R.Woods,8.0,1.9396911,0.2424613875,45.0,55.812480351000005,1.2402773411333334,53.0,0.032897530076569974,0.32731559622587947,0.36021312630244945,2.0389422243534874
2021,00-0030456,G.Bernard,21.0,-1.660912016,-0.07909104838095238,28.0,6.19030611,0.22108236107142856,49.0,0.01849067822486552,-0.08314559995370185,-0.06465492172883633,-0.39584645956430403
2021,00-0030496,L.Bell,40.0,-6.783925176,-0.16959812940000002,5.0,4.63895595,0.92779119,45.0,-0.00116441671262754,0.020665577915661645,0.019501161203034106,0.13000774135356072
2021,00-0030513,L.Murray,119.0,-6.842852543000001,-0.0575029625462185,10.0,4.750863423,0.4750863423,129.0,0.13059942666787278,-0.004166818811892793,0.12643260785597998,0.2940293205953023
2021,00-0030525,T.Austin,3.0,1.6055196299999999,0.53517321,24.0,12.876890828,0.5365371178333334,27.0,0.021162055864140873,0.0048219324675377,0.025983988331678573,0.28871098146309526
2021,00-0030578,C.Patterson,153.0,-15.485663822000001,-0.10121348903267975,52.0,42.25811877,0.8126561301923078,205.0,0.10070037719178762,0.15475092379021782,0.2554513009820054,0.3738311721687884
2021,00-0030669,A.Wilson,4.0,-0.71268084,-0.17817021,25.0,10.009887185,0.4003954874,29.0,-0.00046104792653913493,-0.029183593487018412,-0.02964464141355755,-0.30666870427818155
2021,00-0030874,D.Williams,40.0,-1.3214002189999998,-0.033035005475,16.0,1.4464215200000001,0.09040134500000001,56.0,0.05373533159893026,-0.06852580413721943,-0.01479047253828917,-0.0792346743122634
2021,00-0031045,C.Hyde,72.0,-25.042096193,-0.34780689156944444,12.0,-1.2229929849999996,-0.1019160820833333,84.0,-0.13105103426564413,-0.0745884146607035,-0.2056394489263476,-0.7344266033083844
2021,00-0031236,B.Cooks,2.0,0.8301585659999999,0.41507928299999997,90.0,79.5027262237,0.8833636247077777,92.0,0.011694088961353547,0.3317946650316583,0.3434887539930118,1.120072023890256
2021,00-0031285,D.Freeman,133.0,-2.9614116170000004,-0.0222662527593985,34.0,7.002822841,0.2059653776764706,167.0,0.19306439074408127,-0.10612811659561137,0.0869362741484699,0.1561729475721016
2021,00-0031382,J.Landry,6.0,5.01308505,0.835514175,52.0,33.514280566000004,0.6445053955000001,58.0,0.06043512469310588,0.06687315289574546,0.12730827758885133,0.6584910909768172
2021,00-0031408,M.Evans,1.0,0.63755673,0.63755673,91.0,125.0929223617,1.37464749848022,92.0,0.008082998721882804,0.7847961720519767,0.7928791707738595,2.585475556871281
2021,00-0031549,N.Agholor,3.0,-0.501932866,-0.16731095533333332,38.0,33.222467467,0.8742754596578948,41.0,-1.837123133651164e-05,0.1366202237871692,0.13660185255583268,0.9995257504085319
2021,00-0031763,D.Carter,10.0,2.687755155,0.2687755155,24.0,30.698665055,1.2791110439583333,34.0,0.043766548575611956,0.18393524128160804,0.22770178985722,2.0091334399166474
2021,00-0031806,M.Brown,33.0,-8.538267786,-0.2587353874545455,3.0,-1.106389428,-0.368796476,36.0,-0.030523754499475517,-0.026693748707889445,-0.05721750320736496,-0.47681252672804136
2021,00-0032058,T.Coleman,84.0,-5.8796384563999995,-0.0699956959095238,11.0,0.7714458900000003,0.07013144454545457,95.0,0.08164120141805505,-0.049352383861926294,0.03228881755612875,0.10196468701935395
2021,00-0032063,M.Davis,138.0,-17.8081072984,-0.12904425578550724,44.0,-7.762436285,-0.1764190064772727,182.0,0.052228335796711406,-0.3064368705733333,-0.25420853477662186,-0.41902505732410195
2021,00-0032104,A.Abdullah,51.0,-10.994161821,-0.2155718004117647,38.0,15.919972126,0.4189466348947368,89.0,-0.025049025495534782,-0.03727420175051926,-0.06232322724605404,-0.21007829408782258
2021,00-0032144,M.Gordon,203.0,-18.8745546478,-0.0929781017133005,28.0,5.8251550953999995,0.20804125340714283,231.0,0.15041084267487254,-0.08681545939691791,0.06359538327795462,0.08259140685448653
2021,00-0032187,D.Johnson,67.0,-21.678452993,-0.3235589998955224,32.0,11.9351980081,0.372974937753125,99.0,-0.10562254194540992,-0.0461736688965494,-0.15179621084195932,-0.45998851770290705
