season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties
2023,Tyler Shatley,9257,JAX,G,G,12,518,302,216,47.5,51.3,44.6,9,1,3,5,100.0,100.0,98.3,0,0
2023,Elijah Wilkinson,46238,ARI,G,G,10,501,285,216,46.2,40.7,57.5,25,3,4,18,100.0,100.0,94.8,6,0
2023,Connor Williams,46216,MIA,C,C,9,497,280,217,86.5,71.7,90.5,6,1,1,4,100.0,100.0,98.7,7,0
2023,Stone Forsythe,41795,SEA,T,T,13,497,312,185,58.2,40.8,71.4,32,5,7,20,100.0,100.0,93.6,2,2
2023,Robert Jones,100786,MIA,G,G,8,479,304,175,57.6,49.3,62.3,14,2,1,11,100.0,100.0,97.2,4,0
2023,Vederian Lowe,59741,NE,T,T,11,476,290,186,41.7,36.0,49.3,38,6,3,29,100.0,100.0,92.1,2,0
2023,Max Mitchell,81707,NYJ,T,T,9,474,336,138,49.3,47.5,49.4,30,6,4,20,100.0,100.0,94.3,1,0
2023,Chris Hubbard,8051,TEN,T,T,9,473,292,181,68.2,67.8,62.7,18,4,4,10,100.0,100.0,95.9,0,0
2023,Tyler Larsen,9304,WAS,C,C,7,466,325,141,50.3,28.7,60.9,24,3,4,17,100.0,100.0,95.7,0,0
2023,Jarrett Patterson,81775,HOU,C,C,7,464,277,187,60.4,53.7,62.9,8,0,1,7,100.0,100.0,98.4,1,0
2023,Evan Neal,99063,NYG,T,T,7,460,309,151,39.8,38.5,51.1,29,2,5,22,100.0,100.0,94.6,5,1
2023,Atonio Mafi,82449,NE,G,G,12,458,296,162,32.3,27.7,39.9,32,5,3,24,100.0,100.0,93.5,7,2
2023,Chris Paul,77579,WAS,G,G,7,439,307,132,38.8,27.8,45.1,26,5,5,16,100.0,100.0,94.8,1,0
2023,Phil Haynes,29244,SEA,G,G,8,437,299,138,51.9,59.4,53.6,12,5,2,5,100.0,100.0,96.9,6,2
2023,Chukwuma Okorafor,46302,PIT,T,T,14,436,272,164,60.4,60.7,62.6,11,2,0,9,100.0,100.0,97.5,8,5
2023,Cade Mays,81995,CAR,G,G,10,434,267,167,58.3,43.0,71.2,21,3,2,16,100.0,100.0,95.2,4,0
2023,Chuma Edoga,46232,DAL,T,T,13,420,251,169,61.4,63.7,56.8,16,3,5,8,100.0,100.0,95.9,3,1
2023,Trevor Penning,59963,NO,T,T,11,417,245,172,53.6,60.8,49.0,19,4,3,12,100.0,100.0,95.1,7,2
2023,Larry Borom,59879,CHI,T,T,9,411,225,186,48.0,45.2,50.4,25,3,6,16,100.0,100.0,93.5,5,0
2023,Tytus Howard,25472,HOU,G,G,7,408,243,165,46.8,38.9,49.6,18,1,3,14,100.0,100.0,95.8,0,0
2023,Carter Warren,60023,NYJ,T,T,6,401,258,143,46.9,45.5,49.9,20,5,2,13,100.0,100.0,94.9,2,0
2023,Isaiah Wynn,46048,MIA,G,G,7,392,224,168,47.8,67.5,43.2,4,0,0,4,100.0,100.0,99.1,3,0
2023,Matt Feiler,9289,TB,G,G,6,386,244,142,54.7,65.0,52.2,12,0,2,10,100.0,100.0,97.4,2,0
2023,Marcus McKethan,60811,NYG,G,G,9,378,245,133,45.4,26.8,53.9,17,2,5,10,100.0,100.0,95.8,1,1
2023,Chandler Zavala,144009,CAR,G,G,7,374,249,125,26.2,7.1,41.5,33,6,7,20,100.0,100.0,91.6,3,0
2023,Connor McGovern,10778,NYJ,C,C,7,371,240,131,48.5,30.5,62.5,18,1,5,12,100.0,100.0,95.8,6,2
2023,Kayode Awosika,44909,DET,G,G,7,370,232,138,55.7,46.0,60.5,27,1,5,21,100.0,100.0,93.7,2,1
2023,Jaelyn Duncan,81722,TEN,T,T,8,364,207,157,32.9,29.2,41.5,36,9,10,17,100.0,100.0,88.5,4,0
2023,T.J. Bass,131703,DAL,G,G,12,344,190,154,54.1,54.9,54.2,6,1,0,5,100.0,100.0,98.1,1,0
2023,Wanya Morris,98247,KC,T,T,9,340,235,105,55.6,63.4,47.1,24,2,7,15,100.0,100.0,94.2,3,1
2023,David Quessenberry,7957,MIN,T,T,6,331,231,100,64.8,68.3,57.2,16,1,4,11,100.0,100.0,96.1,1,0
2023,Trystan Colon,41117,ARI,G,G,11,322,200,122,59.6,69.2,55.5,9,2,1,6,100.0,100.0,97.0,1,1
2023,Max Garcia,9566,NO,G,G,12,320,184,135,54.2,59.2,55.6,8,0,2,6,99.7,99.5,97.7,3,0
2023,Nick Harris,46752,CLE,C,C,18,313,169,138,59.5,66.3,58.7,3,0,0,3,98.1,96.6,99.1,2,0
2023,Nash Jensen,66672,CAR,G,G,7,302,171,131,34.7,33.7,38.6,18,1,2,15,100.0,100.0,94.1,1,0
2023,Jake Curhan,38549,SEA,T,T,7,296,187,109,55.7,39.2,67.1,27,3,6,18,100.0,100.0,91.3,1,0
2023,Xavier Newman,58525,NYJ,G,G,6,292,188,104,47.8,31.9,58.6,16,4,3,9,100.0,100.0,94.4,2,0
2023,Storm Norton,12188,ATL,T,T,6,283,153,129,68.3,69.3,66.4,6,1,0,5,99.6,99.4,97.6,1,0
2023,Abraham Lucas,60218,SEA,T,T,6,273,182,91,53.1,44.4,58.8,17,2,0,15,100.0,100.0,94.4,0,0
2023,Wesley French,29608,IND,C,C,8,270,153,117,48.4,56.7,47.5,8,1,0,7,100.0,100.0,96.9,2,1
2023,Michael Dunn,39676,CLE,G,G,13,266,146,120,61.1,55.8,62.9,5,1,1,3,100.0,100.0,97.8,2,0
2023,Joshua Ezeudu,77355,NYG,T,T,6,266,181,85,42.4,39.3,53.4,12,5,0,7,100.0,100.0,95.0,6,1
2023,Yosh Nijman,60822,GB,T,T,15,259,157,102,57.4,59.3,57.7,13,2,1,10,100.0,100.0,95.0,2,1
2023,Austin Corbett,46290,CAR,G,G,4,257,176,81,47.9,44.5,51.0,16,3,1,12,100.0,100.0,94.4,1,0
2023,Colby Sorsdal,87479,DET,G,G,5,253,132,121,41.8,35.1,46.9,14,1,4,9,100.0,100.0,94.0,2,1
2023,Nick Allegretti,39268,KC,G,G,11,253,160,93,65.8,73.7,59.6,12,2,1,9,100.0,100.0,95.4,0,0
