game_id,play_id,season,week,posteam,defteam,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,qb_hit,pass_location,epa,epa_capped,air_epa,yac_epa,complete,air_yards_clean,yards_after_catch_clean,cp,cpoe,success,pass_touchdown,interception
2021_01_ARI_TEN,2609.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0036936,R.Moore,1.0,10.0,75.0,3.0,11.0,1.0,0.0,0.0,left,1.9412359,1.9412359,-1.3514057,3.2926416,1,-4.0,33.0,0.8798654,12.013459,1.0,0.0,0.0
2021_01_ARI_TEN,2654.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030564,D.Hopkins,2.0,7.0,43.0,3.0,11.0,1.0,1.0,0.0,left,1.2445264,1.2445264,1.093514,0.15101239,1,7.0,3.0,0.6563507,34.364933,1.0,0.0,0.0
2021_01_ARI_TEN,2716.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030155,D.Harris,2.0,3.0,26.0,3.0,11.0,0.0,0.0,0.0,right,-0.8122037,-0.8122037,-0.7738819,-0.038321767,0,-1.0,0.0,0.85634416,-85.634415,0.0,0.0,0.0
2021_01_ARI_TEN,2766.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034775,C.Kirk,3.0,3.0,26.0,3.0,11.0,1.0,0.0,0.0,right,3.7186005,3.7186005,3.7186005,0.0,1,26.0,0.0,0.29782003,70.217995,1.0,1.0,0.0
2021_01_ARI_TEN,2856.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032355,C.Rogers,1.0,15.0,80.0,3.0,-18.0,1.0,0.0,0.0,middle,0.6864739,0.6864739,0.30848572,0.37798816,1,7.0,2.0,0.7850478,21.495216,1.0,0.0,0.0
2021_01_ARI_TEN,2901.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,3.0,5.0,70.0,3.0,-18.0,1.0,0.0,1.0,middle,-2.9416547,-2.9416547,2.4923077,-5.4339623,0,23.0,0.0,0.41673255,-41.673256,0.0,0.0,1.0
2021_01_ARI_TEN,2927.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030564,D.Hopkins,1.0,10.0,53.0,3.0,18.0,1.0,0.0,0.0,left,-0.5503146,-0.5503146,1.2664791,-1.8167938,0,18.0,0.0,0.5747981,-57.479813,0.0,0.0,0.0
2021_01_ARI_TEN,2949.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0027942,A.Green,2.0,10.0,53.0,3.0,18.0,1.0,0.0,1.0,right,-0.95140696,-0.95140696,1.1132929,-2.0647,0,10.0,0.0,0.4115999,-41.159992,0.0,0.0,0.0
2021_01_ARI_TEN,2982.0,2021,1,ARI,TEN,00-0035228,K.Murray,,,3.0,10.0,53.0,3.0,18.0,1.0,0.0,1.0,,-1.9882752,-1.9882752,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,3148.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,,,3.0,8.0,57.0,3.0,-18.0,1.0,0.0,1.0,,-4.957656,-4.957656,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,3245.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034775,C.Kirk,3.0,4.0,11.0,3.0,18.0,1.0,0.0,0.0,right,2.8899179,2.8899179,2.8899179,0.0,1,11.0,0.0,0.36320835,63.679165,1.0,1.0,0.0
2021_01_ARI_TEN,3310.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032355,C.Rogers,1.0,10.0,75.0,3.0,-25.0,1.0,0.0,1.0,middle,-0.55613995,-0.55613995,0.5663845,-1.1225245,0,10.0,0.0,0.54006743,-54.006744,0.0,0.0,0.0
2021_01_ARI_TEN,3353.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,3.0,6.0,71.0,3.0,-25.0,1.0,0.0,0.0,left,1.6789876,1.6789876,1.6789876,0.0,1,10.0,0.0,0.55536973,44.463028,1.0,0.0,0.0
2021_01_ARI_TEN,3398.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,2.0,3.0,54.0,3.0,-25.0,1.0,1.0,0.0,right,-0.8134095,-0.8134095,0.4383234,-1.251733,0,7.0,0.0,0.7052313,-70.52313,0.0,0.0,0.0
2021_01_ARI_TEN,3420.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,3.0,3.0,54.0,3.0,-25.0,1.0,0.0,0.0,right,1.0378398,1.0378398,1.0555477,-0.017708015,1,3.0,2.0,0.6763608,32.363922,1.0,0.0,0.0
2021_01_ARI_TEN,3444.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0036182,N.Westbrook-Ikhine,1.0,10.0,49.0,3.0,-25.0,1.0,1.0,0.0,middle,-0.48240107,-0.48240107,0.6001861,-1.0825871,0,9.0,0.0,0.7473981,-74.73981,0.0,0.0,0.0
2021_01_ARI_TEN,3466.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032764,D.Henry,2.0,10.0,49.0,3.0,-25.0,1.0,0.0,0.0,left,-0.8248961,-0.8248961,-0.4975251,-0.32737103,0,4.0,0.0,0.77547854,-77.54785,0.0,0.0,0.0
