game_id,play_id,season,week,posteam,defteam,rusher_player_id,rusher_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,run_location,run_gap,epa,epa_capped,rushing_yards,success,rush_touchdown,fumble_lost
2021_01_BAL_LV,323.0,2021,1,BAL,LV,00-0036457,T.Williams,1.0,10.0,92.0,1.0,0.0,0.0,0.0,left,end,-0.2005183,-0.2005183,3.0,0.0,0.0,0.0
2021_01_BAL_LV,356.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,7.0,89.0,1.0,0.0,0.0,0.0,middle,,1.7216969,1.7216969,18.0,1.0,0.0,0.0
2021_01_BAL_LV,407.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,8.0,69.0,1.0,0.0,1.0,0.0,middle,,-0.4283182,-0.4283182,2.0,0.0,0.0,0.0
2021_01_BAL_LV,497.0,2021,1,BAL,LV,00-0034164,T.Cannon,2.0,15.0,64.0,1.0,0.0,1.0,0.0,left,end,-0.8288835,-0.8288835,2.0,0.0,0.0,0.0
2021_01_BAL_LV,716.0,2021,1,BAL,LV,00-0036457,T.Williams,1.0,10.0,44.0,1.0,0.0,1.0,0.0,right,guard,-0.20829016,-0.20829016,3.0,0.0,0.0,0.0
2021_01_BAL_LV,783.0,2021,1,BAL,LV,00-0036457,T.Williams,4.0,1.0,35.0,1.0,0.0,1.0,0.0,middle,,5.008027,5.008027,35.0,1.0,1.0,0.0
2021_01_BAL_LV,838.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,85.0,1.0,-7.0,0.0,0.0,right,tackle,0.7486086,0.7486086,13.0,1.0,0.0,0.0
2021_01_BAL_LV,859.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,72.0,1.0,-7.0,0.0,0.0,right,guard,-0.6317232,-0.6317232,0.0,0.0,0.0,0.0
2021_01_BAL_LV,992.0,2021,1,BAL,LV,00-0030513,L.Murray,2.0,4.0,74.0,2.0,7.0,1.0,0.0,right,tackle,-1.477872,-1.477872,-3.0,0.0,0.0,0.0
2021_01_BAL_LV,1054.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,65.0,2.0,-7.0,0.0,0.0,left,guard,-0.56856483,-0.56856483,0.0,0.0,0.0,0.0
2021_01_BAL_LV,1198.0,2021,1,BAL,LV,00-0034796,L.Jackson,1.0,10.0,39.0,2.0,7.0,1.0,0.0,,,-1.2752424,-1.2752424,0.0,0.0,0.0,0.0
2021_01_BAL_LV,1272.0,2021,1,BAL,LV,00-0036457,T.Williams,2.0,10.0,14.0,2.0,7.0,1.0,0.0,right,tackle,-0.52925086,-0.52925086,4.0,0.0,0.0,0.0
2021_01_BAL_LV,1440.0,2021,1,LV,BAL,00-0033118,K.Drake,2.0,1.0,43.0,2.0,-14.0,0.0,0.0,right,tackle,-0.45053893,-0.45053893,0.0,0.0,0.0,0.0
2021_01_BAL_LV,1586.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,2.0,2.0,2.0,-14.0,1.0,0.0,middle,,0.7460401,0.7460401,2.0,1.0,1.0,0.0
2021_01_BAL_LV,1634.0,2021,1,BAL,LV,00-0036457,T.Williams,1.0,10.0,75.0,2.0,7.0,1.0,0.0,left,guard,-0.673786,-0.673786,1.0,0.0,0.0,0.0
2021_01_BAL_LV,1685.0,2021,1,BAL,LV,00-0036457,T.Williams,1.0,10.0,61.0,2.0,7.0,1.0,0.0,left,guard,0.93893105,0.93893105,16.0,1.0,0.0,0.0
2021_01_BAL_LV,1706.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,45.0,2.0,7.0,1.0,0.0,right,tackle,-0.22173823,-0.22173823,3.0,0.0,0.0,0.0
2021_01_BAL_LV,1768.0,2021,1,BAL,LV,00-0036457,T.Williams,3.0,3.0,38.0,2.0,7.0,1.0,0.0,left,guard,-1.2289401,-1.2289401,2.0,0.0,0.0,0.0
2021_01_BAL_LV,1809.0,2021,1,BAL,LV,00-0030513,L.Murray,4.0,1.0,36.0,2.0,7.0,1.0,0.0,left,guard,-3.1350858,-3.1350858,0.0,0.0,0.0,0.0
2021_01_BAL_LV,2235.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,60.0,3.0,4.0,1.0,0.0,middle,,-0.011990452,-0.011990452,4.0,0.0,0.0,0.0
2021_01_BAL_LV,2323.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,93.0,3.0,-4.0,0.0,0.0,left,end,-0.53695893,-0.53695893,2.0,0.0,0.0,0.0
2021_01_BAL_LV,2458.0,2021,1,LV,BAL,00-0033118,K.Drake,3.0,15.0,98.0,3.0,-4.0,0.0,0.0,left,tackle,-0.90324235,-0.90324235,2.0,0.0,0.0,0.0
2021_01_BAL_LV,2526.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,10.0,38.0,3.0,4.0,1.0,0.0,middle,,1.4338372,1.4338372,11.0,1.0,0.0,0.0
2021_01_BAL_LV,2547.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,27.0,3.0,4.0,1.0,0.0,middle,,0.22488901,0.22488901,6.0,1.0,0.0,0.0
2021_01_BAL_LV,2568.0,2021,1,BAL,LV,00-0036457,T.Williams,2.0,4.0,21.0,3.0,4.0,1.0,0.0,right,tackle,-0.7101192,-0.7101192,-1.0,0.0,0.0,0.0
2021_01_BAL_LV,2655.0,2021,1,LV,BAL,00-0031280,D.Carr,1.0,10.0,80.0,3.0,-7.0,0.0,0.0,left,end,-0.36652493,-0.36652493,4.0,0.0,0.0,0.0
2021_01_BAL_LV,2903.0,2021,1,LV,BAL,00-0035700,J.Jacobs,4.0,1.0,13.0,3.0,-7.0,1.0,0.0,middle,,-4.2966213,-4.2966213,0.0,0.0,0.0,0.0
2021_01_BAL_LV,2930.0,2021,1,BAL,LV,00-0034796,L.Jackson,1.0,10.0,87.0,3.0,7.0,1.0,0.0,right,end,0.91935015,0.91935015,15.0,1.0,0.0,0.0
2021_01_BAL_LV,3235.0,2021,1,BAL,LV,00-0034796,L.Jackson,1.0,10.0,68.0,4.0,7.0,1.0,0.0,left,tackle,-0.15088889,-0.15088889,4.0,0.0,0.0,0.0
2021_01_BAL_LV,3256.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,6.0,64.0,4.0,7.0,1.0,0.0,middle,,-4.912198,-4.912198,2.0,0.0,0.0,1.0
2021_01_BAL_LV,3336.0,2021,1,LV,BAL,00-0035700,J.Jacobs,3.0,1.0,32.0,4.0,-7.0,1.0,0.0,left,guard,0.4461143,0.4461143,1.0,1.0,0.0,0.0
2021_01_BAL_LV,3409.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,15.0,4.0,-7.0,0.0,0.0,right,guard,2.0070531,2.0070531,15.0,1.0,1.0,0.0
2021_01_BAL_LV,3457.0,2021,1,BAL,LV,00-0036457,T.Williams,1.0,10.0,75.0,4.0,0.0,1.0,0.0,left,guard,-0.5223584,-0.5223584,2.0,0.0,0.0,0.0
2021_01_BAL_LV,3502.0,2021,1,BAL,LV,00-0035662,M.Brown,3.0,2.0,67.0,4.0,0.0,1.0,0.0,left,end,0.9444637,0.9444637,5.0,1.0,0.0,0.0
2021_01_BAL_LV,3523.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,62.0,4.0,0.0,1.0,0.0,middle,,0.004134991,0.004134991,5.0,1.0,0.0,0.0
2021_01_BAL_LV,3571.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,8.0,8.0,4.0,0.0,1.0,0.0,middle,,1.7142024,1.7142024,8.0,1.0,1.0,0.0
2021_01_BAL_LV,3643.0,2021,1,LV,BAL,00-0033118,K.Drake,2.0,1.0,66.0,4.0,-7.0,0.0,0.0,right,guard,-0.04043662,-0.04043662,3.0,0.0,0.0,0.0
2021_01_BAL_LV,3893.0,2021,1,BAL,LV,00-0034796,L.Jackson,1.0,10.0,75.0,4.0,0.0,1.0,0.0,middle,,-0.51677716,-0.51677716,1.0,0.0,0.0,0.0
2021_01_BAL_LV,3938.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,65.0,4.0,0.0,1.0,0.0,right,tackle,-0.58395755,-0.58395755,0.0,0.0,0.0,0.0
2021_01_BAL_LV,3980.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,10.0,65.0,4.0,0.0,1.0,0.0,middle,,2.1511102,2.1511102,28.0,1.0,0.0,0.0
2021_01_BAL_LV,4018.0,2021,1,BAL,LV,00-0030513,L.Murray,1.0,10.0,37.0,4.0,0.0,1.0,0.0,right,tackle,-0.6593419,-0.6593419,2.0,0.0,0.0,0.0
2021_01_BAL_LV,4056.0,2021,1,BAL,LV,00-0034796,L.Jackson,2.0,8.0,35.0,4.0,0.0,1.0,0.0,middle,,-0.8381238,-0.8381238,4.0,0.0,0.0,0.0
2021_01_BAL_LV,4094.0,2021,1,BAL,LV,00-0034796,L.Jackson,3.0,4.0,31.0,4.0,0.0,1.0,0.0,right,end,0.2470739,0.2470739,2.0,1.0,0.0,0.0
2021_01_BAL_LV,4371.0,2021,1,LV,BAL,00-0035700,J.Jacobs,1.0,10.0,64.0,5.0,0.0,1.0,0.0,right,end,-1.0509337,-1.0509337,-2.0,0.0,0.0,0.0
