season,team,n_linemen,total_pass_block_snaps,total_run_block_snaps,total_offense_snaps,team_pass_block_grade,team_run_block_grade,team_offense_grade,total_pressures_allowed,total_sacks_allowed,total_hits_allowed,total_hurries_allowed,total_penalties,pressure_rate,sack_rate,C_pass_block_grade,G_pass_block_grade,T_pass_block_grade,C_run_block_grade,G_run_block_grade,T_run_block_grade,C_pass_block_snaps,G_pass_block_snaps,T_pass_block_snaps,C_run_block_snaps,G_run_block_snaps,T_run_block_snaps,C_pressures_allowed,G_pressures_allowed,T_pressures_allowed,C_sacks_allowed,G_sacks_allowed,T_sacks_allowed,C_n_players,G_n_players,T_n_players,total_offensive_epa,total_offensive_plays,rushing_epa,passing_epa,rushing_plays,passing_plays,offensive_epa_per_play,rushing_epa_per_play,passing_epa_per_play
2022,WAS,12,3345,2602,5947,59.697279521674155,,61.780527997309555,202,30,39,133,28,0.06038863976083707,0.008968609865470852,41.11320224719101,56.019021310181536,72.79553440702783,62.42870201096892,,63.54402224281743,712.0,1267.0,1366.0,547.0,976.0,1079.0,42.0,68.0,92.0,6.0,7.0,17.0,4.0,5.0,3.0,-79.4418685277,1177,-47.110666047100004,-32.3312024806,511.0,666.0,-0.06749521540161427,-0.0921930842409002,-0.04854534906996997
2023,ARI,9,3427,2229,5656,62.66154070615699,58.5440556303275,60.44059405940594,182,28,31,123,41,0.053107674350744094,0.008170411438576015,61.1,60.1593023255814,65.9438775510204,67.4,57.380179171332585,55.30112107623318,679.0,1376.0,1372.0,444.0,893.0,892.0,23.0,79.0,80.0,3.0,11.0,14.0,1.0,5.0,3.0,-65.2150533932,1124,-5.818495683599991,-59.3965577096,447.0,677.0,-0.05802051013629893,-0.013016768867114075,-0.0877349449181684
2023,ATL,10,3165,2480,5647,,72.64689516129032,73.46939968124668,130,21,25,84,27,0.04107424960505529,0.006635071090047393,,67.88025276461296,74.53536392405063,83.76417322834646,72.38333333333334,67.16150712830958,635.0,1266.0,1264.0,508.0,990.0,982.0,32.0,48.0,50.0,2.0,9.0,10.0,3.0,3.0,4.0,-99.1209356345,1115,-84.15216890090001,-14.968766733599988,487.0,628.0,-0.08889770012062781,-0.17279706139815196,-0.023835615817834378
2023,BAL,9,3616,2662,6278,71.87370022123895,67.36435011269722,69.45810767760432,173,23,21,129,42,0.0478429203539823,0.006360619469026549,75.65694444444445,70.71383125864453,71.15179310344828,76.58476190476189,59.82284644194757,70.37053320860618,720.0,1446.0,1450.0,525.0,1068.0,1069.0,20.0,55.0,98.0,0.0,4.0,19.0,2.0,3.0,4.0,81.08966717034001,1236,10.012462449040001,71.0772047213,511.0,725.0,0.06560652683684466,0.01959385997855186,0.09803752375351725
2023,BUF,8,3909,2788,6700,67.59332310053723,62.57166427546628,64.61832835820896,185,13,23,149,34,0.047326682015860835,0.00332565873624968,72.4956129032258,61.14659090909091,71.73032258064516,62.473872180451124,55.98791946308725,69.99633458646618,775.0,1584.0,1550.0,532.0,1192.0,1064.0,30.0,75.0,80.0,1.0,5.0,7.0,2.0,3.0,3.0,135.73001462326,1283,9.51360227516,126.2164123481,511.0,772.0,0.10579112597292283,0.018617616976829746,0.16349276210893782
2023,CAR,13,3296,1944,5240,53.36568567961166,,60.058625954198476,224,37,26,161,34,0.06796116504854369,0.011225728155339806,48.9,34.05954751131221,70.19883641341546,67.5,53.444347826086954,,730.0,1105.0,1461.0,418.0,690.0,836.0,32.0,107.0,85.0,8.0,17.0,12.0,1.0,9.0,3.0,-179.4543816226,1145,-62.7218550396,-116.73252658300001,420.0,725.0,-0.15672871757432316,-0.1493377500942857,-0.16101038149379313
2023,CHI,10,3230,2433,5663,,59.625852856555696,57.262193183824834,212,21,28,163,50,0.06563467492260062,0.006501547987616099,,57.91595505617977,61.641795665634675,59.794117647058826,55.686287952987264,63.695876288659804,603.0,1335.0,1292.0,442.0,1021.0,970.0,31.0,73.0,108.0,1.0,8.0,12.0,3.0,4.0,3.0,-59.6801545174,1121,-20.26696060029999,-39.413193917099996,476.0,645.0,-0.05323831803514719,-0.04257764831995796,-0.061105727003255804
2023,CIN,8,3656,1818,5476,59.69543216630196,61.29669966996699,62.898557341124906,197,30,33,134,16,0.05388402625820569,0.008205689277899343,69.65684931506848,52.35958023019635,62.15452035886818,64.51284916201116,65.18284574468085,55.542796610169496,730.0,1477.0,1449.0,358.0,752.0,708.0,21.0,75.0,101.0,6.0,9.0,15.0,2.0,3.0,3.0,2.367953288449997,1070,-35.096460764549995,37.464414053,341.0,729.0,0.0022130404564953245,-0.10292217233005864,0.051391514475994514
2023,CLE,13,4016,2738,6761,,59.823739956172396,62.46155894098506,220,28,34,158,42,0.054780876494023904,0.0069721115537848604,71.51268656716418,67.51589775561098,,65.76020942408377,67.23287037037036,49.313640552995395,804.0,1604.0,1608.0,573.0,1080.0,1085.0,22.0,73.0,125.0,1.0,11.0,16.0,2.0,4.0,7.0,-173.294580568296,1296,-59.802971036100004,-113.49160953219601,510.0,786.0,-0.1337149541422037,-0.11726072752176471,-0.14439136072798475
2023,DAL,10,4069,2342,6411,67.02946669943475,64.55584970111016,66.7265013258462,173,23,35,115,37,0.04251658884246744,0.005652494470385844,63.493896713615015,70.39810085134249,65.76816568047337,65.51703853955375,68.4663943990665,60.69979838709677,852.0,1527.0,1690.0,493.0,857.0,992.0,32.0,47.0,94.0,3.0,6.0,14.0,2.0,3.0,5.0,151.0321730303,1257,-21.912099696300004,172.9442727266,452.0,805.0,0.12015288228345265,-0.048478096673230095,0.2148376058715528
