season,team,total_offensive_epa,total_offensive_plays,rushing_epa,passing_epa,rushing_plays,passing_plays,offensive_epa_per_play,rushing_epa_per_play,passing_epa_per_play
2021,MIN,15.8462330266,1127,-50.683934853400004,66.53016788,444.0,683.0,0.014060543945519078,-0.11415300642657658,0.09740873774524157
2021,NE,84.5600122888,1145,-6.227254131200002,90.78726642000001,491.0,654.0,0.0738515391168559,-0.012682798637881878,0.13881845018348626
2021,NO,-71.90534125880001,1075,-69.61856788810002,-2.286773370699997,469.0,606.0,-0.06688868954306977,-0.148440443258209,-0.003773553416996695
2021,NYG,-149.82236604307,1089,-47.32616015397,-102.4962058891,384.0,705.0,-0.137577930250753,-0.12324520873429688,-0.14538468920439715
2021,NYJ,-77.51515177424,1078,-30.18902056774,-47.326131206499994,365.0,713.0,-0.07190644877016697,-0.0827096453910685,-0.0663760605981767
2021,PHI,64.20766132680001,1172,13.890282722000002,50.317378604800005,509.0,663.0,0.05478469396484642,0.02728935701768173,0.07589348205852188
2021,PIT,-66.25000564113,1222,-30.301145693100008,-35.948859948029984,419.0,803.0,-0.05421440723496727,-0.07231777015059668,-0.04476819420676212
2021,SEA,41.6172378825,982,9.919056273999994,31.69818160850001,383.0,599.0,0.04238007931008147,0.02589831925326369,0.052918500181135246
2021,SF,74.95210800619999,1244,-28.200518322700002,103.1526263289,568.0,676.0,0.06025089068022507,-0.04964879986390845,0.1525926424983728
2021,TB,160.2213314368,1305,8.072066295199996,152.14926514159998,411.0,894.0,0.12277496661823754,0.019640063978588796,0.17018933461029082
2021,TEN,22.724819773900006,1222,-30.625717319900005,53.35053709379999,561.0,661.0,0.018596415526923083,-0.05459129647040999,0.0807118564202723
2021,WAS,-42.94562520977,1115,-26.936609422269996,-16.0090157875,440.0,675.0,-0.0385162557935157,-0.06121956686879544,-0.023717060425925928
2022,ARI,-94.280889118,1193,-31.2329761,-63.047913017999996,400.0,793.0,-0.07902840663704946,-0.07808244025,-0.07950556496595207
2022,ATL,4.769375677299998,1037,3.2413676249999996,1.5280080523000024,524.0,513.0,0.004599205089006748,0.006185816078244274,0.002978573201364527
2022,BAL,1.4166429454400062,1139,7.8611436806400015,-6.444500735199995,512.0,627.0,0.0012437602681650626,0.015353796251250003,-0.010278310582456133
2022,BUF,107.6450662922,1195,-20.1663555943,127.8114218865,403.0,792.0,0.09007955338259414,-0.050040584601240695,0.1613780579375
2022,CAR,-37.675213514300005,1010,-3.269724402300004,-34.405489112000005,470.0,540.0,-0.03730219159831684,-0.00695686043042554,-0.06371386872592594
2022,CHI,-41.863151636299996,1020,-2.118415664299999,-39.744735972,485.0,535.0,-0.04104230552578431,-0.004367867349072164,-0.07428922611588785
2022,CIN,108.5256570992,1275,-20.563679464499998,129.0893365637,414.0,861.0,0.0851181624307451,-0.049670723344202895,0.1499295430472706
2022,CLE,14.299243008099994,1153,2.1482725391000024,12.150970468999986,493.0,660.0,0.012401771906418035,0.004357550789249497,0.018410561316666647
2022,DAL,52.375748173095,1276,-19.623549075204995,71.9992972483,566.0,710.0,0.041046824587065045,-0.03467058140495582,0.10140746091309859
2022,DEN,-86.86046573774,1126,-50.75897655359999,-36.10148918414,418.0,708.0,-0.07714073333724689,-0.12143295826220094,-0.05099080393240113
2022,DET,85.74930774267,1129,-30.247760740830003,115.9970684835,465.0,664.0,0.07595155690227635,-0.06504894782974194,0.17469438024623493
2022,GB,19.656917282599995,1077,-4.121694049799998,23.7786113324,436.0,641.0,0.018251548080408537,-0.009453426719724765,0.03709611752324493
